position_id,title,salary_scale,establishment,section,reports_to,council_type
ENG-MAINT-CARP,Carpenter,LGSS15,2,Maintenance Unit,ENG-MAINT-FOREMAN,Town
ENG-MAINT-PAINT,Painter,LGSS15,1,Maintenance Unit,ENG-MAINT-FOREMAN,Town
ENG-MAINT-GENWORK,General Worker,G3,4,Maintenance Unit,ENG-MAINT-FOREMAN,Town
ENG-PARK-MGR,Parks Manager,LGSS07,1,Parks & Gardens Unit,ENG-CONSTR-ASSTDIR,Town
ENG-PARK-SUPT,Superintendent,LGSS12,1,Parks & Gardens Unit,ENG-PARK-MGR,Town
ENG-PARK-ASSTSUPT,Assistant Superintendent,LGSS13,1,Parks & Gardens Unit,ENG-PARK-SUPT,Town
ENG-PARK-FOREMAN,Parks Foreman,LGSS14,1,Parks & Gardens Unit,ENG-PARK-SUPT,Town
ENG-PARK-SUP,Parks Supervisor,LGSS15,1,Parks & Gardens Unit,ENG-PARK-FOREMAN,Town
ENG-PARK-ASSTFORE,Assistant Parks Foreman,LGSS17,1,Parks & Gardens Unit,ENG-PARK-FOREMAN,Town
ENG-PARK-WORK,General Worker,G1,7,Parks & Gardens Unit,ENG-PARK-SUP,Town
ENG-MECH-CHIEF,Chief Mechanical Engineer - Buildings Construction & Maintenance,LGSS06,1,Mechanical Services Unit,ENG-CONSTR-ASSTDIR,Town
ENG-MECH07,Mechanical Engineer - Buildings Construction & Maintenance,LGSS07,1,Mechanical Services Unit,ENG-MECH-CHIEF,Town
ENG-MECH-ASST,Assistant Mechanical Engineer,LGSS10,1,Mechanical Services Unit,ENG-MECH07,Town
ENG-MECH-SUPT,Superintendent,LGSS12,1,Mechanical Services Unit,ENG-MECH07,Town
ENG-MECH-ASSTSUPT,Assistant Superintendent,LGSS13,1,Mechanical Services Unit,ENG-MECH-SUPT,Town
ENG-MECH-ASSIST,Engineering Assistant,LGSS14,3,Mechanical Services Unit,ENG-MECH-SUPT,Town
ENG-MECH-AUTO,Auto Electrician,LGSS14,1,Mechanical Services Unit,ENG-MECH-SUPT,Town
ENG-MECH-TECH,Mechanic,LGSS14,4,Mechanical Services Unit,ENG-MECH-SUPT,Town
ENG-MECH-FOREMAN,Foreman,LGSS14,1,Mechanical Services Unit,ENG-MECH-SUPT,Town
ENG-MECH-ASSTFORE,Assistant Foreman,LGSS17,1,Mechanical Services Unit,ENG-MECH-FOREMAN,Town
ENG-MECH-PLANT,Plant Operator,LGSS14,16,Mechanical Services Unit,ENG-MECH-SUPT,Town
ENG-MECH-HANDY,Mechanical Handyman,LGSS18,3,Mechanical Services Unit,ENG-MECH-SUPT,Town
ENG-MECH-WELDER,Welder,LGSS14,1,Mechanical Services Unit,ENG-MECH-SUPT,Town
ENG-FIRE-CHIEF,Chief Fire Officer,LGSS06,1,Fire & Rescue Services Unit,ENG-DIR,Town
ENG-FIRE-DEPUTY,Deputy Chief Fire Officer,LGSS07,2,Fire & Rescue Services Unit,ENG-FIRE-CHIEF,Town
ENG-FIRE-DIV,Divisional Fire Officer,LGSS09,2,Fire & Rescue Services Unit,ENG-FIRE-DEPUTY,Town
ENG-FIRE-ASSTDIV,Assistant Divisional Fire Officer,LGSS10,2,Fire & Rescue Services Unit,ENG-FIRE-DIV,Town
ENG-FIRE-STN,Station Fire Officer,LGSS11,4,Fire & Rescue Services Unit,ENG-FIRE-DIV,Town
ENG-FIRE-SUB,Sub-Officer,LGSS12,6,Fire & Rescue Services Unit,ENG-FIRE-STN,Town
ENG-FIRE-LEAD,Leading Firefighter,LGSS13,4,Fire & Rescue Services Unit,ENG-FIRE-SUB,Town
ENG-FIRE,Fire Fighter,LGSS14,40,Fire & Rescue Services Unit,ENG-FIRE-LEAD,Town
ENG-FIRE-DRV,Fire Fighter Driver,LGSS14,7,Fire & Rescue Services Unit,ENG-FIRE-LEAD,Town
ENG-WATSAN-COORD,Rural Water and Sanitation Coordinator,LGSS06,1,Rural Water & Sanitation Unit,ENG-DIR,Town
ENG-WATSAN-ASST,Assistant Water and Sanitation Engineer,LGSS07,1,Rural Water & Sanitation Unit,ENG-WATSAN-COORD,Town
CITY-CLERK,Town Clerk,LGSS01,1,Council Administration,,City
ENG-DIR,Director - Engineering,LGSS03,1,Engineering Department,CITY-CLERK,City
ENG-ELEC-CHIEF,Chief Electrical Engineer,LGSS06,1,Electrical Engineering Unit,ENG-CONSTR-ASSTDIR,City
ENG-ELEC-ENG07,Electrical Engineer,LGSS07,1,Electrical Engineering Unit,ENG-ELEC-CHIEF,City
ENG-ELEC-ASST,Assistant Electrical Engineer,LGSS10,1,Electrical Engineering Unit,ENG-ELEC-CHIEF,City
ENG-ELEC-SEN-SUPT,Senior Electrical Superintendent,LGSS10,1,Electrical Engineering Unit,ENG-ELEC-CHIEF,City
ENG-ELEC-SUPT,Superintendent,LGSS12,1,Electrical Engineering Unit,ENG-ELEC-CHIEF,City
ENG-ELEC-ASSTSUPT,Assistant Superintendent,LGSS13,2,Electrical Engineering Unit,ENG-ELEC-SUPT,City
ENG-ELEC-SENASSIST,Senior Engineering Assistant,LGSS13,1,Electrical Engineering Unit,ENG-ELEC-SUPT,City
ENG-ELEC-WORKSUP,Works Supervisor,LGSS14,2,Electrical Engineering Unit,ENG-ELEC-SUPT,City
ENG-ELEC-TECH,Electrician,LGSS14,5,Electrical Engineering Unit,ENG-ELEC-WORKSUP,City
ENG-ELEC-FOREMAN,Foreman,LGSS15,1,Electrical Engineering Unit,ENG-ELEC-WORKSUP,City
ENG-ELEC-ASSTFORE,Assistant Foreman,LGSS17,2,Electrical Engineering Unit,ENG-ELEC-FOREMAN,City
ENG-QSURV-CHIEF,Chief Quantity Surveyor,LGSS06,1,Quantity Surveying Unit,ENG-CONSTR-ASSTDIR,City
ENG-QSURV07,Quantity Surveyor,LGSS07,2,Quantity Surveying Unit,ENG-QSURV-CHIEF,City
