position_id,title,salary_scale,establishment,section,reports_to,council_type
HRA-ADIR-ADMIN-CITY,Assistant Director – Administration,LGSS/05,1,Administration Section,HRA-DIR-CITY,Town
Administration Unit,HRA-CH-ADMIN-CITY,Chief Administrative Officer,6,HRA-ADIR-ADMIN-CITY,1,Town
Administration Unit,HRA-SNR-ADMIN-CITY,Senior Administrative Officer,7,HRA-CH-ADMIN-CITY,8,Town
Administration Unit,HRA-ADMIN-CITY,Administrative Officer,8,HRA-SNR-ADMIN-CITY,8,Town
Administration Unit,HRA-SNR-PRINT-CITY,Senior Printing Officer,8,HRA-CH-ADMIN-CITY,1,Town
Administration Unit,HRA-PRINT-CITY,Printing Officer,10,HRA-SNR-PRINT-CITY,1,Town
Administration Unit,HRA-SEC-CITY,Personal Secretary,11,HRA-ADMIN-CITY,1,Town
Administration Unit,HRA-STENO-CITY,Stenographer,12,HRA-ADMIN-CITY,7,Town
Administration Unit,HRA-TYPIST-CITY,Typist,14,HRA-ADMIN-CITY,7,Town
Administration Unit,HRA-HEAD-DRIVER-CITY,Head Driver,1,HRA-ADMIN-CITY,1,Town
Administration Unit,HRA-DRIVER-CITY,Driver,1,HRA-ADMIN-CITY,24,Town
Administration Unit,HRA-ORDERLY-CITY,Office Orderly,3,HRA-ADMIN-CITY,20,Town
Administration Unit,HRA-WATCHMAN-CITY,Watchman,3,HRA-ADMIN-CITY,15,Town
Administration Unit,HRA-GW-CITY,General Worker,3,HRA-ADMIN-CITY,95,Town
Registry Unit,HRA-REG-SUP-CITY,Registry Supervisor,14,HRA-ADMIN-CITY,3,Town
Registry Unit,HRA-REG-CLERK-CITY,Registry Clerk,17,HRA-REG-SUP-CITY,16,Town
HRA-CH-COMM-CITY,Chief Committee Clerk,LGSS/06,1,Committee Section,HRA-DIR-CITY,Town
HRA-SNR-COMM-CITY,Senior Committee Clerk,LGSS/08,2,Committee Section,HRA-CH-COMM-CITY,Town
HRA-COMM-CLERK-CITY,Committee Clerk,LGSS/10,7,Committee Section,HRA-SNR-COMM-CITY,Town
HRA-ASST-COMM-CITY,Assistant Committee Clerk,LGSS/12,5,Committee Section,HRA-COMM-CLERK-CITY,Town
HRA-CH-SEC-CITY,Chief Security Officer,LGSS/06,1,Security Section,HRA-DIR-CITY,Town
HRA-SNR-SEC-CITY,Senior Security Officer,LGSS/08,1,Security Section,HRA-CH-SEC-CITY,Town
HRA-SEC-OFFICER-CITY,Security Officer,LGSS/10,2,Security Section,HRA-SNR-SEC-CITY,Town
HRA-SERGEANT-CITY,Town Sergeant,LGSS/12,2,Security Section,HRA-SNR-SEC-CITY,Town
HRA-INSPECTOR-CITY,Inspector,LGSS/14,4,Security Section,HRA-SNR-SEC-CITY,Town
HRA-SUB-INSPECTOR-CITY,Sub Inspector,LGSS/14,15,Security Section,HRA-SNR-SEC-CITY,Town
HRA-POLICE-CITY,Police Constable,G1,65,Security Section,HRA-SNR-SEC-CITY,Town
